placement,np,iterations,population,features,total_time,computation_time,trial,execution,gather_time,speedup,efficiency,reference_time
scatter,4,1000,128,100,196.1620535851,196.1357851028,0,3,,1.0864325780923392,27.16081445230848,213.0883066654
scatter,4,1000,128,100,264.6910438538,264.68564224240004,1,1,0.0002553463,0.8050618267773398,20.126545669433497,213.0883066654
scatter,4,1000,128,100,190.7230594158,190.7151010036,1,2,0.0003652573,1.1173121873625396,27.932804684063488,213.0883066654
scatter,4,1000,128,100,214.83258461949998,214.8246874809,1,3,0.0003736019,0.9919172194040577,24.797930485101443,213.0883066654
scatter,4,1000,128,100,46.2236201763,46.1830508709,2,1,,4.613993719493903,115.34984298734759,213.0883066654
scatter,4,1000,128,100,46.6502692699,46.6429564953,2,2,,4.568499140633849,114.21247851584621,213.0883066654
scatter,4,1000,128,100,46.2216053009,46.2028326988,2,3,,4.612018229586482,115.30045573966206,213.0883066654
scatter,16,1000,128,100,236.9800071716,236.9741089344,0,1,,0.8992050128328064,5.62003133020504,213.0883066654
scatter,16,1000,128,100,192.7232122421,192.7111232281,0,2,,1.1057395291769474,6.910872057355921,213.0883066654
scatter,16,1000,128,100,213.0563127995,213.0440223217,0,3,,1.0002078647559196,6.251299154724498,213.0883066654
scatter,16,1000,128,100,235.1342594624,235.0515887737,1,1,0.0007724762,0.906559737703175,5.665998360644844,213.0883066654
scatter,16,1000,128,100,234.8901293277,234.87877178189999,1,2,0.0008144379,0.9072267580795517,5.670167237997198,213.0883066654
scatter,16,1000,128,100,235.2642631531,235.2568433285,1,3,0.0008034706,0.9057687914644632,5.661054946652895,213.0883066654
scatter,16,1000,128,100,13.6239397526,13.5825793743,2,1,,15.688353499968548,98.05220937480343,213.0883066654
scatter,16,1000,128,100,13.6188752651,13.6105861664,2,2,,15.656071241916386,97.85044526197741,213.0883066654
scatter,16,1000,128,100,13.6446452141,13.6340484619,2,3,,15.629129327277209,97.68205829548255,213.0883066654
scatter,32,1000,128,100,235.9174685478,235.9104351997,0,1,,0.9032593513085554,2.8226854728392357,213.0883066654
scatter,32,1000,128,100,235.2491905689,235.2428429127,0,2,,0.9058226980553806,2.8306959314230644,213.0883066654
scatter,32,1000,128,100,213.2408895493,213.1994848251,0,3,,0.9994785251953531,3.123370391235478,213.0883066654
scatter,32,1000,128,100,241.8220098019,241.8072695732,1,1,0.0020713806,0.8812320119304512,2.75385003728266,213.0883066654
scatter,32,1000,128,100,273.4413237572,273.38159132,1,2,0.0019378662,0.7794537504757401,2.4357929702366876,213.0883066654
scatter,32,1000,128,100,273.6456356049,273.5675079823,1,3,0.0042109489,0.7789240331830158,2.4341376036969247,213.0883066654
scatter,32,1000,128,100,7.2086572647,7.1857073307,2,1,,29.654465017661927,92.67020318019352,213.0883066654
scatter,32,1000,128,100,7.2138111591,7.2021863461,2,2,,29.58661390103962,92.4581684407488,213.0883066654
scatter,32,1000,128,100,7.3400552273,7.2950341702,2,3,,29.210049150401442,91.2814035950045,213.0883066654
scatter,64,1000,128,100,272.6942238808,272.687458992,0,1,,0.7814378682946747,1.220996669210429,213.0883066654
scatter,64,1000,128,100,272.1764085293,272.150393486,0,2,,0.7829799690381919,1.2234062016221747,213.0883066654
scatter,64,1000,128,100,235.0725569725,235.0659108162,0,3,,0.9065045030370888,1.4164132859954512,213.0883066654
